Id bicicleta,modelo bicicleta
1,Modelo 17
2,Modelo 10
3,Modelo 7
4,Modelo 4
5,Modelo 16
6,Modelo 14
7,Modelo 19
8,Modelo 11
9,Modelo 11
10,Modelo 4
11,Modelo 17
12,Modelo 5
13,Modelo 9
14,Modelo 4
15,Modelo 8
16,Modelo 17
17,Modelo 20
18,Modelo 1
19,Modelo 17
20,Modelo 7
21,Modelo 7
22,Modelo 18
23,Modelo 2
24,Modelo 3
25,Modelo 2
26,Modelo 6
27,Modelo 19
28,Modelo 5
29,Modelo 2
30,Modelo 1
31,Modelo 5
32,Modelo 6
33,Modelo 6
34,Modelo 15
35,Modelo 20
36,Modelo 13
37,Modelo 11
38,Modelo 13
39,Modelo 20
40,Modelo 6
41,Modelo 12
42,Modelo 3
43,Modelo 16
44,Modelo 18
45,Modelo 12
46,Modelo 4
47,Modelo 17
48,Modelo 16
49,Modelo 6
50,Modelo 11
