id,nome,idade,peso,velocidadeMaxima,raca
1,Valente_9193,9,512.04,41.21,Mangalarga
2,Mustang_9234,6,438.71,45.78,Campolina
3,Mustang_6346,13,592.2,64.96,Quarto de Milha
4,Ventania_7849,9,552.81,53.94,Mangalarga
5,Lendario_7422,8,569.19,66.59,Mangalarga
6,Titan_7133,13,484.52,70.48,Mangalarga
7,Mustang_3925,9,523.71,64.96,Mangalarga
8,Mustang_5613,14,447.58,63.24,Crioulo
9,Galante_1257,7,535.21,67.94,Mangalarga
10,Apollo_5731,4,365.58,58.72,Mangalarga
11,Sombra_421,6,467.3,43.69,Paint Horse
12,Estrela_875,12,449.78,49.63,Puro Sangue
13,Cometa_2817,8,431.67,43.04,Crioulo
14,Galante_6354,15,400.2,66.31,Quarto de Milha
15,Veloz_4438,14,429.4,69.31,Puro Sangue
16,Furacão_6871,8,455.64,48.87,Crioulo
17,Galante_5345,11,424.2,65.75,Mangalarga
18,Ventania_2398,11,369.03,42.87,Paint Horse
19,Relampago_4353,4,519.81,49.03,Campolina
20,Sombra_178,5,515.08,50.23,Crioulo
21,Furacão_1549,7,499.81,47.95,Crioulo
22,Titan_8354,12,438.42,66.2,Campolina
23,Dominante_4902,5,542.81,64.06,Crioulo
24,Sombra_8854,11,372.44,48.6,Paint Horse
25,Lendario_4220,4,410.78,73.48,Mangalarga
26,Trovão_2029,5,372.24,46.86,Puro Sangue
27,Furacão_7618,5,403.25,73.76,Campolina
28,Estrela_2331,15,350.4,41.3,Quarto de Milha
29,Galante_6446,11,451.77,49.15,Crioulo
30,Pegasus_91,9,578.29,47.65,Mangalarga
31,Valente_4342,12,543.35,71.82,Crioulo
32,Espartano_3219,13,413.99,69.07,Mangalarga
33,Valente_1459,15,484.18,54.45,Campolina
34,Cometa_9586,5,362.18,52.54,Campolina
35,Lendario_7087,15,550.62,67.74,Paint Horse
36,Tempestade_8342,14,533.22,54.9,Appaloosa
37,Furacão_8968,15,362.51,53.53,Puro Sangue
38,Espartano_1808,13,551.25,48.74,Mangalarga
39,Cometa_1764,3,573.22,62.41,Appaloosa
40,Lendario_8835,8,371.68,65.97,Puro Sangue
41,Dominante_9820,12,354.75,44.77,Appaloosa
42,Furacão_7272,14,368.78,69.33,Mangalarga
43,Trovão_3584,8,358.75,72.13,Quarto de Milha
44,Mustang_3815,7,429.13,44.55,Mangalarga
45,Tempestade_2682,12,409.99,42.67,Puro Sangue
46,Ventania_2527,4,516.58,52.07,Appaloosa
47,Galante_2711,5,504.22,60.81,Appaloosa
48,Relampago_9544,13,466.23,67.67,Mangalarga
49,Espartano_1372,12,504.27,64.33,Campolina
50,Veloz_5526,2,406.1,47.97,Paint Horse
51,Espartano_4701,10,377.0,64.26,Quarto de Milha
52,Dominante_1780,8,569.88,53.75,Paint Horse
53,Mustang_9292,12,389.61,46.82,Puro Sangue
54,Espartano_7486,8,477.22,50.85,Crioulo
55,Mustang_5523,11,422.63,65.13,Campolina
56,Apollo_2601,10,531.52,45.37,Appaloosa
57,Atlas_2770,2,467.45,66.72,Puro Sangue
58,Lendario_6224,14,433.36,57.4,Campolina
59,Espartano_7228,4,439.73,59.37,Paint Horse
60,Dominante_2368,3,388.38,58.0,Appaloosa
61,Atlas_6377,14,359.0,40.66,Puro Sangue
62,Ventania_1726,5,432.12,70.72,Puro Sangue
63,Relampago_8989,8,356.61,47.89,Puro Sangue
64,Furacão_8067,7,395.66,58.2,Campolina
65,Relampago_863,12,586.4,55.65,Puro Sangue
66,Raio_5881,5,425.02,40.53,Appaloosa
67,Pegasus_2630,14,501.11,61.9,Appaloosa
68,Relampago_5681,5,484.0,65.88,Crioulo
69,Lendario_2551,11,438.2,74.83,Mangalarga
70,Ventania_6163,13,485.55,47.67,Campolina
71,Titan_4403,4,466.65,62.53,Appaloosa
72,Tempestade_5746,4,510.3,40.6,Crioulo
73,Relampago_1355,15,416.6,40.85,Mangalarga
74,Atlas_8610,5,398.64,67.27,Campolina
75,Espartano_749,11,472.73,46.27,Crioulo
